fecha,h0,hf,pluvio,observador,fechahora,duracion,conico
2017-03-01,19,22,0.3,FILI,2017-03-01 19:00:00,3,
2017-03-02,12,13,4.1,FILI,2017-03-02 12:00:00,1,
2017-03-02,15,16,6.2,FILI,2017-03-02 15:00:00,1,
2017-03-03,5,15,17.8,FILI,2017-03-03 05:00:00,10,
2017-03-06,10,14,6.0,DIEGO,2017-03-06 10:00:00,4,
2017-03-07,2,11,14.02,NATALIO,2017-03-07 02:00:00,9,
2017-03-08,18,19,0.2,NATALIO,2017-03-08 18:00:00,1,
2017-03-11,12,15,8.0,IVAN,2017-03-11 12:00:00,3,
2017-03-13,5,10,12.0,IVAN,2017-03-13 05:00:00,5,
2017-03-14,11,15,8.2,DIEGO,2017-03-14 11:00:00,4,
2017-03-15,11,18,19.8,DIEGO,2017-03-15 11:00:00,7,
2017-03-16,20_15032017,3,5.6,DIEGO,2017-03-15 20:00:00,7,
2017-03-16,19,23,2.4,DIEGO,2017-03-16 19:00:00,4,
2017-03-24,11,14,6.0,IVAN,2017-03-24 11:00:00,3,
2017-03-26,11,13,8.6,NATALIO,2017-03-26 11:00:00,2,
2017-03-27,17,19,9.0,NATALIO,2017-03-27 17:00:00,2,
2017-03-28,17,19,5.2,FILI,2017-03-28 17:00:00,2,
2017-03-29,5,9,14.0,FILI,2017-03-29 05:00:00,4,
2017-03-31,11,16,18.2,FILI,2017-03-31 11:00:00,5,
2017-04-01,11,15,5.2,DIEGO,2017-04-01 11:00:00,4,
2017-04-03,12,13,24.0,DIEGO,2017-04-03 12:00:00,1,
2017-04-09,3,7,7.8,IVAN,2017-04-09 03:00:00,4,
2017-04-10,11,15,7.4,IVAN,2017-04-10 11:00:00,4,
2017-04-24,13,15,3.4,NATALIO,2017-04-24 13:00:00,2,
2017-04-25,1,3,4.8,FILI,2017-04-25 01:00:00,2,
2017-04-28,19,20,0.8,DIEGO,2017-04-28 19:00:00,1,
2017-04-29,9,17,18.8,DIEGO,2017-04-29 09:00:00,8,
2017-05-10,12,15,9.0,DIEGO,2017-05-10 12:00:00,3,
2017-05-23,2,5,0.8,FILI,2017-05-23 02:00:00,3,
2017-05-23,14,17,0.2,FILI,2017-05-23 14:00:00,3,
2017-05-24,3,5,0.2,FILI,2017-05-24 03:00:00,2,
2017-05-24,16,18,0.3,FILI,2017-05-24 16:00:00,2,
2017-05-26,11,15,12.8,FILI,2017-05-26 11:00:00,4,
2017-05-28,0,3,13.6,DIEGO,2017-05-28 00:00:00,3,
2017-05-29,13,15,6.2,DIEGO,2017-05-29 13:00:00,2,
2017-06-30,16,16,1.4,NATALIO,2017-06-30 16:00:00,0,
2017-07-03,8,8,0.8,IVAN,2017-07-03 08:00:00,0,
2017-09-07,13,17,15.2,IVAN,2017-09-07 13:00:00,4,
2017-09-08,5,8,3.4,IVAN,2017-09-08 05:00:00,3,
2017-09-13,12,15,2.0,NATALIO,2017-09-13 12:00:00,3,
2017-09-14,21,23,10.4,NATALIO,2017-09-14 21:00:00,2,
2017-09-15,15,18,0.3,NATALIO,2017-09-15 15:00:00,3,
2017-09-18,2,5,7.0,IVAN,2017-09-18 02:00:00,3,
2017-09-23,2,4,4.8,NATALIO,2017-09-23 02:00:00,2,
2017-09-24,5,6,0.6,NATALIO,2017-09-24 05:00:00,1,
2017-09-27,3,5,3.2,IVAN,2017-09-27 03:00:00,2,
2017-09-28,4,8,3.0,IVAN,2017-09-28 04:00:00,4,
2017-10-11,11,13,1.4,DIEGO,2017-10-11 11:00:00,2,
2017-10-12,12,14,1.8,DIEGO,2017-10-12 12:00:00,2,
2017-10-13,23_12102017,4,15.6,DIEGO,2017-10-12 23:00:00,5,
2017-10-14,20,22,4.4,NATALIO,2017-10-14 20:00:00,2,
2017-10-15,19,20,7.0,NATALIO,2017-10-15 19:00:00,1,
2017-10-16,6,6,4.2,NATALIO,2017-10-16 06:00:00,0,
2017-10-17,0,6,13.2,IVAN,2017-10-17 00:00:00,6,
